overs,comment
19.6,"<p class=""cb-col cb-col-90 cb-com-ln"">Soumya Sarkar to Karthik, <b>SIX</b>, <b>DK! He has done it. And he outdoes MSD! In staying cool.</b> The Indians are piling on him. Let him breathe lads. There's kisses, cuddling, hugs and what not for DK. Look at Soumya Sarkar, he is in tears and is inconsolable. A couple of Bangladeshis in the dugout are in tears as well. <b>DK has won the Nidahas Trophy single-handedly</b>. How cool was DK though! A flat six over extra cover. Skimmed over the rope. Just. But this game is about margins. Inches will do. Soumya Sarkar who had done really well till then, suddenly lost the plot and served up an overpitched delivery outside off, DK crashed that lofted drive and <b>this shot will be etched in every Indian's memory - maybe on par with MSD's loft off Kulasekara on that magical Mumbai night on 2nd April 2011</b>. That gave India the World Cup. This Sri Lanka's Independence Trophy. Unbelievable end to a near unbelievable game. What more can I say?</p>"
19.5,"<p class=""cb-col cb-col-90 cb-com-ln"">Soumya Sarkar to Vijay Shankar, <b>out</b> Caught by Mehidy Hasan!! My word. I'm out of words actually. Rebound taken by long-off. What a moment in the game. Lofted the slower delivery straight up, both the fielders almost collided, there was a slight contact between the two, where the shoulders brushed, that's why the catch popped out - but Mehidy who was nearby hung on. A wicket and a dot - but it is DK who is on strike next ball - some consolation for India. <b>Vijay Shankar c Mehidy Hasan b Soumya Sarkar 17(19) [4s-3]</b></p>"
19.4,"<p class=""cb-col cb-col-90 cb-com-ln"">Soumya Sarkar to Vijay Shankar, <b>FOUR</b>, Vijay Shankar gets four. India needed that. Very full around off, Vijay Shankar opens the face of the bat at the last moment and directs it between backward point and short third. It rolls away to the fence. This is getting unbearable now</p>"
19.3,"<p class=""cb-col cb-col-90 cb-com-ln"">Soumya Sarkar to Karthik, 1 run, yorker length on off, dug out to sweeper cover, superb ball</p>"
19.2,"<p class=""cb-col cb-col-90 cb-com-ln"">Soumya Sarkar to Vijay Shankar, 1 run, driven hard to extra cover, <b>direct hit and Vijay Shankar would've been out.</b> There's a ricochet off the bowler's hand, Vijay Shankar sends Karthik back, who wanted two</p>"
19.1,"<p class=""cb-col cb-col-90 cb-com-ln"">Soumya Sarkar to Vijay Shankar, no run, half-volley outside off, the right length to hit it for six, but Vijay Shankar is under extreme pressure, swings and misses. They can't take a bye as well. Dot and the pressure on the youngster</p>"
19.1,"<p class=""cb-col cb-col-90 cb-com-ln"">Soumya Sarkar to Vijay Shankar, <b>wide</b>, <b>had Rahim hit, Vijay Shankar would've been out</b>. But called wide. Rightly so. Low full-toss slipping down leg, Vijay Shankar didn't get a tickle. This is manic</p>"
18.6,"<p class=""cb-col cb-col-90 cb-com-ln"">Rubel to Karthik, <b>FOUR</b>, amazing from DK. What batting. Under pressure. With his place not assured when some of the big guns return. But he has the nerve tonight. <b>Is he Steve Waugh in disguise?</b> Shuffles across and almost sits under this delivery to scoop it over short fine's head. Almost a six, one bounce over the ropes. Rubel who has bowled so well in the tournament, has gone for 22 in the penultimate over</p>"
18.5,"<p class=""cb-col cb-col-90 cb-com-ln"">Rubel to Karthik, 2 runs, Karthik comes down the track and flat-bats the length delivery wide of Rubel, Vijay Shankar races to the other end, they make it across for two. DK on strike and that's what India want</p>"
18.4,"<p class=""cb-col cb-col-90 cb-com-ln"">Rubel to Karthik, no run, Rahim appeals for a caught behind, then calms down. Slower delivery outside off, Karthik cuts and misses, wanted to hit it too hard, missed. Good change up from Rubel</p>"
18.3,"<p class=""cb-col cb-col-90 cb-com-ln"">Rubel to Karthik, <b>SIX</b>, he is playing the innings of his life. Six over deep mid now. The Indians are going mental as do the Sri Lankans. The dugout is up and clapping. What drama. What tension. Length ball angling in, on middle, slogged with power and timing into the deep mid fence, just sat back and didn't hold back. Just six, but will do</p>"
18.2,"<p class=""cb-col cb-col-90 cb-com-ln"">Rubel to Karthik, <b>FOUR</b>, the crowd have got their voice back. This was tailing in late, but Karthik somehow slugged it after having got under it, long-on was beaten by the pace and bounce off the deck, it just skipped past his right-hand, goes away for four. DK has 10 off 2</p>"
18.1,"<p class=""cb-col cb-col-90 cb-com-ln"">Rubel to Karthik, <b>SIX</b>, DK! What a blow. First ball and he has launched it for a biggie. Low full-toss, low backlift from Karthik as Rubel missed the yorker, incredible power from DK to lift it flat over long-on's head. The start India needed</p>"
17.6,"<p class=""cb-col cb-col-90 cb-com-ln"">Mustafizur to Manish Pandey, <b>out</b> Caught by Sabbir Rahman!! Slogged and caught at long-on. Right off the toe end of the bat. Slower delivery on off, Manish Pandey was waiting on the back foot to launch, he hasn't found his timing at all tonight. Holes out. <b>Just a legbye and the wicket off the over</b>. Incredible stuff from the Fizz. <b>Manish Pandey c Sabbir Rahman b Mustafizur 28(27) [4s-3]</b></p>"
17.5,"<p class=""cb-col cb-col-90 cb-com-ln"">Mustafizur to Vijay Shankar, leg byes, 1 run, quick short of length delivery, Vijay Shankar got inside the line to help it, off the thigh pad and the ball just rolls wide of the stumps. They take a legbye</p>"
17.4,"<p class=""cb-col cb-col-90 cb-com-ln"">Mustafizur to Vijay Shankar, no run, <b>wow. Wow. What bowling from Mustafizur.</b> Vijay Shankar thumps the bat hard into the pad. He clearly is under pressure. Action replay of the previous delivery. Nothing going right for the youngster, he drives and misses</p>"
17.3,"<p class=""cb-col cb-col-90 cb-com-ln"">Mustafizur to Vijay Shankar, no run, superb bowling. Three dots in a row. Vijay Shankar made it difficult for himself by shuffling across, Mustafizur just followed him with an off-pace delivery, going across, Vijay Shankar drives and misses. Looks at the umpire for a wide, but his movement costs him</p>"
17.2,"<p class=""cb-col cb-col-90 cb-com-ln"">Mustafizur to Vijay Shankar, no run, beaten again. Beautiful bowling. Another cutter, again angling it across Vijay Shankar, who clearly doesn't seem to pick it out of the hand. This is shorter than the previous delivery. Manish Pandey at the other end is itching to get the strike</p>"
17.1,"<p class=""cb-col cb-col-90 cb-com-ln"">Mustafizur to Vijay Shankar, no run, Mustafizur angles one across Vijay Shankar and beats him. Good start by Bangladesh. The cutter doing the trick, pitches and goes past the slog</p>"
16.6,"<p class=""cb-col cb-col-90 cb-com-ln"">Soumya Sarkar to Manish Pandey, no run, has Manish Pandey got in? Yes he has. <b>Third ump again</b> into the action. Driven back to the bowler, who shied back at Manish Pandey's end, <b>just got the bat down in the nick of time.</b> More importantly it is a dot as far as Bangladesh are concerned</p>"
16.5,"<p class=""cb-col cb-col-90 cb-com-ln"">Soumya Sarkar to Vijay Shankar, 1 run, <b>had Soumya Sarkar's flick hit, Vijay Shankar would've been gone.</b> Manic action all around. Yorker dug out to the right of Soumya Sarkar, who does exceptionally well to get across, slide and then attempt the flick even as Vijay Shankar had given up</p>"
16.4,"<p class=""cb-col cb-col-90 cb-com-ln"">Soumya Sarkar to Vijay Shankar, <b>FOUR</b>, Vijay Shankar finds the gap, wide of the diving deep mid. Soumya Sarkar after aiming at the blockhole all over, goes for the slower delivery, it is outside off and the right length to slog, Shankar gets a crucial boundary</p>"
16.3,"<p class=""cb-col cb-col-90 cb-com-ln"">Soumya Sarkar to Manish Pandey, 1 run, very full on off, smashed straight to the fielder at long-on. Couldn't get under that</p>"
16.2,"<p class=""cb-col cb-col-90 cb-com-ln"">Soumya Sarkar to Manish Pandey, 2 runs, yorker length on off, dug out to sweeper cover and Manish Pandey's long reach enables him to make it. The throw was a bit wide of Rahim, he had to get the ball back to the stumps, that's the reason Pandey made it in. He is panting after getting there. <b>Third ump was called for and he made the decision</b></p>"
16.1,"<p class=""cb-col cb-col-90 cb-com-ln"">Soumya Sarkar to Vijay Shankar, 1 run, full on off, lofted with no great timing, bounces through to long-off</p>"
15.6,"<p class=""cb-col cb-col-90 cb-com-ln"">Mustafizur to Manish Pandey, no run, Mustafizur comes back superbly. A slower delivery outside off, Manish Pandey slogs to leg and misses. Rahim thinks there's an edge, but the ball missed the bat</p>"
15.5,"<p class=""cb-col cb-col-90 cb-com-ln"">Mustafizur to Manish Pandey, <b>FOUR</b>, Manish Pandey gets the four. Low full-toss outside off, Manish sliced it wide and over backward point's head. Splits third man and sweeper cover to perfection. Deft touch as well, reached out to play and connected well</p>"
15.4,"<p class=""cb-col cb-col-90 cb-com-ln"">Mustafizur to Vijay Shankar, leg byes, 1 run, well bowled Fizz. Dug the shortish delivery into the pitch, but took the pace off it, Vijay Shankar was through the pull way too early. Completely done in, off the body and they take a legbye</p>"
15.3,"<p class=""cb-col cb-col-90 cb-com-ln"">Mustafizur to Vijay Shankar, no run, off-cutter, no pace, slanted across Vijay Shankar, who drives and misses. He wanted to go over cover, but didn't connect</p>"
15.2,"<p class=""cb-col cb-col-90 cb-com-ln"">Mustafizur to Manish Pandey, 1 run, slanted across Manish Pandey, on a length, he biffs it to long-on</p>"
15.1,"<p class=""cb-col cb-col-90 cb-com-ln"">Mustafizur to Manish Pandey, 2 runs, slashed to deep backward point, it bounced in front of Nazmul and that made it a difficult stop. On top of that he was under pressure by the screaming of Rahim, they take two and the keeper shows his displeasure known to the left-arm spinner by shouting. He wanted just one out of that</p>"
14.6,"<p class=""cb-col cb-col-90 cb-com-ln"">Soumya Sarkar to Vijay Shankar, no run, good finish. Yorker at the base of off, dug out. Well bowled</p>"
14.5,"<p class=""cb-col cb-col-90 cb-com-ln"">Soumya Sarkar to Manish Pandey, 1 run, slower delivery, off-cutter, Manish Pandey gets a thick edge to short third</p>"
14.4,"<p class=""cb-col cb-col-90 cb-com-ln"">Soumya Sarkar to Manish Pandey, <b>FOUR</b>, gets four more. This over is proving to be costly. Down the track and slugs the length ball hard and straight down the ground, too much timing and power on the shot, long-on gets across but the ball beats him</p>"
14.3,"<p class=""cb-col cb-col-90 cb-com-ln"">Soumya Sarkar to Manish Pandey, <b>FOUR</b>, another boundary. But it has come off a thick outside edge, Manish Pandey and India won't mind, flies over short third's head. Manish threw everything at the full and wide delivery outside off</p>"
14.2,"<p class=""cb-col cb-col-90 cb-com-ln"">Soumya Sarkar to Vijay Shankar, 1 run, another slower delivery, sits up for Vijay Shankar, who pulls to deep backward square leg, but just a single</p>"
14.1,"<p class=""cb-col cb-col-90 cb-com-ln"">Soumya Sarkar to Manish Pandey, 1 run, slower delivery on the pads, glanced to short fine, Vijay Shankar rushes to the other end to complete the single</p>"
13.6,"<p class=""cb-col cb-col-90 cb-com-ln"">Nazmul Islam to Vijay Shankar, no run, very full on off, dug out to cover</p>"
13.5,"<p class=""cb-col cb-col-90 cb-com-ln"">Nazmul Islam to Vijay Shankar, <b>FOUR</b>, Vijay Shankar breaks the shackles and releases the pressure valve with a boundary. Sweep-pull to a length delivery on middle, right in between deep square and deep mid. Much needed for the Indians</p>"
13.4,"<p class=""cb-col cb-col-90 cb-com-ln"">Nazmul Islam to Manish Pandey, 1 run, tossed up on the stumps, Manish Pandey makes room and lofts this off the middle of the bat, but straight to the fielder at long-off, on the bounce</p>"
13.3,"<p class=""cb-col cb-col-90 cb-com-ln"">Nazmul Islam to Vijay Shankar, 1 run, Vijay Shankar is off the mark with a back foot punch to long-on</p>"
13.2,"<p class=""cb-col cb-col-90 cb-com-ln"">Nazmul Islam to Rohit, <b>out</b> Caught by Mahmudullah!! Is that the game? Is that the Nidahas Trophy? Could well be. Cacophony out there - the Bangladeshis going wild, shouting, screaming with <b>Nazmul Islam doing the ""Naagin dance""</b>. They feel Rohit is the big fish. The pressure was building and Rohit had to go for the big hit. Got under a full ball, but didn't have the room to free his arms, sliced it straight to the fielder at long-on. Easy for Mahmudullah. Pressure catch but he never looked like dropping it. <b>Rohit c Mahmudullah b Nazmul Islam 56(42) [4s-4 6s-3]</b></p>"
13.1,"<p class=""cb-col cb-col-90 cb-com-ln"">Nazmul Islam to Manish Pandey, 1 run, tossed up and Manish Pandey on the charge drives to long-on</p>"
12.6,"<p class=""cb-col cb-col-90 cb-com-ln"">Mustafizur to Manish Pandey, 1 run, Liton Das and he misses from extra cover. Even the very quick Manish Pandey wouldn't have made it. He punched this to the fielder, good bounce as well, <b>but no direct hit and Pandey will survive</b></p>"
12.5,"<p class=""cb-col cb-col-90 cb-com-ln"">Mustafizur to Manish Pandey, no run, another mistimed hit. Cutting short ball, into the pitch, Manish Pandey drags it to short fine off the bottom edge</p>"
12.4,"<p class=""cb-col cb-col-90 cb-com-ln"">Mustafizur to Rohit, 1 run, short of length on off, punched to the left of extra-cover for a run</p>"
12.3,"<p class=""cb-col cb-col-90 cb-com-ln"">Mustafizur to Manish Pandey, 1 run, Manish Pandey hasn't found his timing as yet. Is lucky that he miscued this, on the bounce to long-on</p>"
12.2,"<p class=""cb-col cb-col-90 cb-com-ln"">Mustafizur to Rohit, 1 run, good bowling by Mustafizur, followed Rohit as he gave him the charge, punched to sweeper cover</p>"
12.1,"<p class=""cb-col cb-col-90 cb-com-ln"">Mustafizur to Rohit, 2 runs, slower delivery from round the wicket, on off, Rohit drives in the air, but wide of extra cover. Long-off prevents the boundary</p>"
11.6,"<p class=""cb-col cb-col-90 cb-com-ln"">Nazmul Islam to Rohit, 1 run, Rohit comes down the track and smashes this right through Nazmul Islam's hands, who took some pace off the shot, that would've stung him for sure, keeps it to a single</p>"
11.5,"<p class=""cb-col cb-col-90 cb-com-ln"">Nazmul Islam to Rohit, no run, very full, in the blockhole, dug out to cover</p>"
11.4,"<p class=""cb-col cb-col-90 cb-com-ln"">Nazmul Islam to Manish Pandey, 1 run, fired in outside off, Manish Pandey lofts to long-off, bounces to the fielder</p>"
11.3,"<p class=""cb-col cb-col-90 cb-com-ln"">Nazmul Islam to Rohit, 1 run, full on the pads, on-driven to long-on</p>"
11.2,"<p class=""cb-col cb-col-90 cb-com-ln"">Nazmul Islam to Manish Pandey, 1 run, uses his feet does Manish Pandey, the bat flows through the line as he finds long-off</p>"
11.1,"<p class=""cb-col cb-col-90 cb-com-ln"">Nazmul Islam to Rohit, 1 run, <b>50 for Rohit</b>. Just a raise of the bat and back to work. On the back foot and works it through mid-wicket</p>"
10.6,"<p class=""cb-col cb-col-90 cb-com-ln"">Shakib to Manish Pandey, no run, make that four! And what an over it has been. Dragged it down, flat outside off, Manish Pandey went for too much power on the cut, off the thick inside edge and to the fielder at mid-wicket</p>"
10.5,"<p class=""cb-col cb-col-90 cb-com-ln"">Shakib to Manish Pandey, no run, bit quicker, on middle, turned straight to the fielder at mid-wicket</p>"
10.4,"<p class=""cb-col cb-col-90 cb-com-ln"">Shakib to Manish Pandey, no run, slows it up and pulls the length back, Manish Pandey on the charge can only find Shakib</p>"
10.3,"<p class=""cb-col cb-col-90 cb-com-ln"">Shakib to Manish Pandey, no run, nicely tossed up on off, Manish Pandey gets forward and pushes it watchfully to cover</p>"
10.2,"<p class=""cb-col cb-col-90 cb-com-ln"">Shakib to Rohit, 1 run, cuts late and to the right of backward point, easy single</p>"
10.1,"<p class=""cb-col cb-col-90 cb-com-ln"">Shakib to Manish Pandey, 1 run, tossed up outside off, Manish Pandey gets forward and drives to sweeper cover for a single</p>"
9.6,"<p class=""cb-col cb-col-90 cb-com-ln"">Rubel to Manish Pandey, 1 run, back of a length on the hips, nudged to deep square leg, they wanted two initially but settle for one as the fielder gets in quickly from the deep</p>"
9.5,"<p class=""cb-col cb-col-90 cb-com-ln"">Rubel to Manish Pandey, no run, fuller than a good length, at good pace, Manish Pandey defends half-forward to cover</p>"
9.4,"<p class=""cb-col cb-col-90 cb-com-ln"">Rubel to Manish Pandey, no run, skiddy short of length delivery outside off, Manish Pandey mistimes the pull to mid-on. Hurried onto the bat</p>"
9.3,"<p class=""cb-col cb-col-90 cb-com-ln"">Rubel to Rahul, <b>out</b> Caught by Sabbir Rahman!! Short ball does it for Rubel and he is pumped. Rahul cannot control the pull as the bounce gets big on him and the top edge lands safely at deep square leg in one of Bangladesh's safest fielders' hands. <b>Rahul c Sabbir Rahman b Rubel 24(14) [4s-2 6s-1]</b></p>"
9.2,"<p class=""cb-col cb-col-90 cb-com-ln"">Rubel to Rohit, 1 run, short of length on off, Rohit steers it to the right of backward point. The run counter is ticked along</p>"
9.1,"<p class=""cb-col cb-col-90 cb-com-ln"">Rubel to Rahul, 1 run, short of length outside off, dabbed down to third man</p>"
8.6,"<p class=""cb-col cb-col-90 cb-com-ln"">Nazmul Islam to Rahul, 1 run, keeps the strike with a single to long-on. Played off the back foot as the length was short</p>"
8.6,"<p class=""cb-col cb-col-90 cb-com-ln"">Nazmul Islam to Rahul, <b>wide</b>, Rahul is disappointed that he has missed out. Fired down leg, he cannot lay bat on the paddle</p>"
8.5,"<p class=""cb-col cb-col-90 cb-com-ln"">Nazmul Islam to Rahul, <b>FOUR</b>, superb use of the crease. Not short, just a smidgen, if you can be ultra-critical, but Rahul was on the back foot in a flash, cut it late and beat two men - backward point to his right and sweeper easily to his left</p>"
8.4,"<p class=""cb-col cb-col-90 cb-com-ln"">Nazmul Islam to Rohit, 1 run, reads it off the pitch, bunts it to long-on off the back foot</p>"
