overs,comment
19.6,"Soumya Sarkar to Karthik, <b>SIX</b>,"
19.5,"Soumya Sarkar to Vijay Shankar, <b>out</b> "
19.4,"Soumya Sarkar to Vijay Shankar, <b>FOUR</b>,"
19.3,"Soumya Sarkar to Karthik, 1 run,"
19.2,"Soumya Sarkar to Vijay Shankar, 1 run,"
19.1,"Soumya Sarkar to Vijay Shankar, no run,, the right length to hit it for six, but Vijay Shankar is under extreme pressure,"
19.1,"Soumya Sarkar to Vijay Shankar, <b>wide</b>,"
18.6,"Rubel to Karthik, <b>FOUR</b>,"
18.5,"Rubel to Karthik, 2 runs,"
18.4,"Rubel to Karthik, no run,"
18.3,"Rubel to Karthik, <b>SIX</b>,"
18.2,"Rubel to Karthik, <b>FOUR</b>,"
18.1,"Rubel to Karthik, <b>SIX</b>,"
17.6,"Mustafizur to Manish Pandey, <b>out</b> "
17.5,"Mustafizur to Vijay Shankar, leg byes,"
17.4,"Mustafizur to Vijay Shankar, no run,"
17.3,"Mustafizur to Vijay Shankar, no run,"
17.2,"Mustafizur to Vijay Shankar, no run,"
17.1,"Mustafizur to Vijay Shankar, no run,"
16.6,"Soumya Sarkar to Manish Pandey, no run,"
16.5,"Soumya Sarkar to Vijay Shankar, 1 run,, Yorker dug out to the right of Soumya Sarkar, who does exceptionally well to get across,"
16.4,"Soumya Sarkar to Vijay Shankar, <b>FOUR</b>,"
16.3,"Soumya Sarkar to Manish Pandey, 1 run,"
16.2,"Soumya Sarkar to Manish Pandey, 2 runs,"
16.1,"Soumya Sarkar to Vijay Shankar, 1 run,"
15.6,"Mustafizur to Manish Pandey, no run,"
15.5,"Mustafizur to Manish Pandey, <b>FOUR</b>,"
15.4,"Mustafizur to Vijay Shankar, leg byes,"
15.3,"Mustafizur to Vijay Shankar, no run,"
15.2,"Mustafizur to Manish Pandey, 1 run,"
15.1,"Mustafizur to Manish Pandey, 2 runs,"
14.6,"Soumya Sarkar to Vijay Shankar, no run,"
14.5,"Soumya Sarkar to Manish Pandey, 1 run,"
14.4,"Soumya Sarkar to Manish Pandey, <b>FOUR</b>,"
14.3,"Soumya Sarkar to Manish Pandey, <b>FOUR</b>,"
14.2,"Soumya Sarkar to Vijay Shankar, 1 run,"
14.1,"Soumya Sarkar to Manish Pandey, 1 run,"
13.6,"Nazmul Islam to Vijay Shankar, no run,"
13.5,"Nazmul Islam to Vijay Shankar, <b>FOUR</b>,"
13.4,"Nazmul Islam to Manish Pandey, 1 run,"
13.3,"Nazmul Islam to Vijay Shankar, 1 run,"
13.2,"Nazmul Islam to Rohit, <b>out</b> "
13.1,"Nazmul Islam to Manish Pandey, 1 run,"
12.6,"Mustafizur to Manish Pandey, 1 run,, He punched this to the fielder, good bounce as well,"
12.5,"Mustafizur to Manish Pandey, no run,"
12.4,"Mustafizur to Rohit, 1 run,"
12.3,"Mustafizur to Manish Pandey, 1 run,"
12.2,"Mustafizur to Rohit, 1 run,"
12.1,"Mustafizur to Rohit, 2 runs,"
11.6,"Nazmul Islam to Rohit, 1 run,"
11.5,"Nazmul Islam to Rohit, no run,"
11.4,"Nazmul Islam to Manish Pandey, 1 run,"
11.3,"Nazmul Islam to Rohit, 1 run,"
11.2,"Nazmul Islam to Manish Pandey, 1 run,"
11.1,"Nazmul Islam to Rohit, 1 run,"
10.6,"Shakib to Manish Pandey, no run,"
10.5,"Shakib to Manish Pandey, no run,"
10.4,"Shakib to Manish Pandey, no run,"
10.3,"Shakib to Manish Pandey, no run,"
10.2,"Shakib to Rohit, 1 run,"
10.1,"Shakib to Manish Pandey, 1 run,"
9.6,"Rubel to Manish Pandey, 1 run,"
9.5,"Rubel to Manish Pandey, no run,"
9.4,"Rubel to Manish Pandey, no run,"
9.3,"Rubel to Rahul, <b>out</b> "
9.2,"Rubel to Rohit, 1 run,"
9.1,"Rubel to Rahul, 1 run,"
8.6,"Nazmul Islam to Rahul, 1 run,"
8.6,"Nazmul Islam to Rahul, <b>wide</b>,"
8.5,"Nazmul Islam to Rahul, <b>FOUR</b>,"
8.4,"Nazmul Islam to Rohit, 1 run,"
8.3,"Nazmul Islam to Rahul, 1 run,"
8.2,"Nazmul Islam to Rohit, 1 run,"
8.1,"Nazmul Islam to Rohit, no run,"
7.6,"Rubel to Rohit, 1 run,"
7.5,"Rubel to Rohit, no run,"
7.4,"Rubel to Rahul, 1 run,, Pushed off the front foot to the right of Mehidy who did really well to come up with the ball as he got up, had time to line it up,"
7.3,"Rubel to Rahul, 2 runs,"
7.2,"Rubel to Rohit, 1 run,"
7.1,"Rubel to Rohit, no run,"
6.6,"Shakib to Rohit, 1 run,"
6.5,"Shakib to Rohit, no run,"
6.4,"Shakib to Rohit, 2 runs,"
