Ball,Bowler,Batsman,Runs,Status,Remarks
,,,,,
0.1,Unadkat,Tamim,1,1 run, 
,,,,,
0.2,Unadkat,Liton Das,0,no run, 
,,,,,
0.3,Unadkat,Liton Das,1,wide,Extra Run
,,,,,
0.3,Unadkat,Liton Das,1,1 run, 
,,,,,
0.4,Unadkat,Tamim,1,1 run, 
,,,,,
0.5,Unadkat,Liton Das,1,1 run, 
,,,,,
0.6,Unadkat,Tamim,4,FOUR, 
,,,,,
1.1,Washington Sundar,Liton Das,1,1 run, 
,,,,,
1.2,Washington Sundar,Tamim,0,no run, 
,,,,,
1.3,Washington Sundar,Tamim,0,no run, 
,,,,,
1.4,Washington Sundar,Tamim,2,2 runs, 
,,,,,
1.5,Washington Sundar,Tamim,1,1 run, 
,,,,,
1.6,Washington Sundar,Liton Das,0,no run, 
,,,,,
2.1,Unadkat,Tamim,3,3 runs, 
,,,,,
2.2,Unadkat,Liton Das,6,SIX, 
,,,,,
2.3,Unadkat,Liton Das,1,1 run, 
,,,,,
2.4,Unadkat,Tamim,1,1 run, 
,,,,,
2.5,Unadkat,Liton Das,1,1 run, 
,,,,,
2.6,Unadkat,Tamim,1,1 run, 
,,,,,
3.1,Washington Sundar,Tamim,1,1 run, 
,,,,,
3.2,Washington Sundar,Liton Das,0,out,OUT
,,,,,
3.3,Washington Sundar,Sabbir Rahman,0,no run, 
,,,,,
3.4,Washington Sundar,Sabbir Rahman,0,no run, 
,,,,,
3.5,Washington Sundar,Sabbir Rahman,0,no run, 
,,,,,
3.6,Washington Sundar,Sabbir Rahman,0,no run, 
,,,,,
4.1,Chahal,Tamim,0,no run, 
,,,,,
4.2,Chahal,Tamim,0,out,OUT
,,,,,
4.3,Chahal,Soumya Sarkar,1,1 run, 
,,,,,
4.4,Chahal,Sabbir Rahman,4,FOUR, 
,,,,,
4.5,Chahal,Sabbir Rahman, ,1 run,Leg byes
,,,,,
4.6,Chahal,Soumya Sarkar,0,out,OUT
,,,,,
5.1,SN Thakur,Sabbir Rahman,1,1 run, 
,,,,,
5.2,SN Thakur,Rahim, ,1 run,Leg byes
,,,,,
5.3,SN Thakur,Sabbir Rahman,0,no run, 
,,,,,
5.4,SN Thakur,Sabbir Rahman,4,FOUR, 
,,,,,
5.5,SN Thakur,Sabbir Rahman,0,no run, 
,,,,,
5.6,SN Thakur,Sabbir Rahman,1,wide,Extra Run
,,,,,
5.6,SN Thakur,Sabbir Rahman,0,no run, 
,,,,,
6.1,Chahal,Rahim,1,1 run, 
,,,,,
6.2,Chahal,Sabbir Rahman,0,no run, 
,,,,,
6.3,Chahal,Sabbir Rahman,1,1 run, 
,,,,,
6.4,Chahal,Rahim,1,1 run, 
,,,,,
6.5,Chahal,Sabbir Rahman,1,1 run, 
,,,,,
6.6,Chahal,Rahim,1,1 run, 
,,,,,
7.1,Vijay Shankar,Rahim,1,1 run, 
