overs,comment
19.6,"Soumya Sarkar,Karthik,<b>SIX</b>,"
19.5,"Soumya Sarkar to Vijay Shankar, <b>out</b> "
19.4,"Soumya Sarkar,Vijay Shankar,<b>FOUR</b>,"
19.3,"Soumya Sarkar,Karthik,1 run,"
19.2,"Soumya Sarkar,Vijay Shankar,1 run,"
19.1,"Soumya Sarkar,Vijay Shankar,no run,"
19.1,"Soumya Sarkar,Vijay Shankar,<b>wide</b>,"
18.6,"Rubel,Karthik,<b>FOUR</b>,"
18.5,"Rubel,Karthik,2 runs,"
18.4,"Rubel,Karthik,no run,"
18.3,"Rubel,Karthik,<b>SIX</b>,"
18.2,"Rubel,Karthik,<b>FOUR</b>,"
18.1,"Rubel,Karthik,<b>SIX</b>,"
17.6,"Mustafizur to Manish Pandey, <b>out</b> "
17.5,"Mustafizur to Vijay Shankar, leg byes, 1 run,"
17.4,"Mustafizur,Vijay Shankar,no run,"
17.3,"Mustafizur,Vijay Shankar,no run,"
17.2,"Mustafizur,Vijay Shankar,no run,"
17.1,"Mustafizur,Vijay Shankar,no run,"
16.6,"Soumya Sarkar,Manish Pandey,no run,"
16.5,"Soumya Sarkar,Vijay Shankar,1 run,"
16.4,"Soumya Sarkar,Vijay Shankar,<b>FOUR</b>,"
16.3,"Soumya Sarkar,Manish Pandey,1 run,"
16.2,"Soumya Sarkar,Manish Pandey,2 runs,"
16.1,"Soumya Sarkar,Vijay Shankar,1 run,"
15.6,"Mustafizur,Manish Pandey,no run,"
15.5,"Mustafizur,Manish Pandey,<b>FOUR</b>,"
15.4,"Mustafizur to Vijay Shankar, leg byes, 1 run,"
15.3,"Mustafizur,Vijay Shankar,no run,"
15.2,"Mustafizur,Manish Pandey,1 run,"
15.1,"Mustafizur,Manish Pandey,2 runs,"
14.6,"Soumya Sarkar,Vijay Shankar,no run,"
14.5,"Soumya Sarkar,Manish Pandey,1 run,"
14.4,"Soumya Sarkar,Manish Pandey,<b>FOUR</b>,"
14.3,"Soumya Sarkar,Manish Pandey,<b>FOUR</b>,"
14.2,"Soumya Sarkar,Vijay Shankar,1 run,"
14.1,"Soumya Sarkar,Manish Pandey,1 run,"
13.6,"Nazmul Islam,Vijay Shankar,no run,"
13.5,"Nazmul Islam,Vijay Shankar,<b>FOUR</b>,"
13.4,"Nazmul Islam,Manish Pandey,1 run,"
13.3,"Nazmul Islam,Vijay Shankar,1 run,"
13.2,"Nazmul Islam to Rohit, <b>out</b> "
13.1,"Nazmul Islam,Manish Pandey,1 run,"
12.6,"Mustafizur,Manish Pandey,1 run,"
12.5,"Mustafizur,Manish Pandey,no run,"
12.4,"Mustafizur,Rohit,1 run,"
12.3,"Mustafizur,Manish Pandey,1 run,"
12.2,"Mustafizur,Rohit,1 run,"
12.1,"Mustafizur,Rohit,2 runs,"
11.6,"Nazmul Islam,Rohit,1 run,"
11.5,"Nazmul Islam,Rohit,no run,"
11.4,"Nazmul Islam,Manish Pandey,1 run,"
11.3,"Nazmul Islam,Rohit,1 run,"
11.2,"Nazmul Islam,Manish Pandey,1 run,"
11.1,"Nazmul Islam,Rohit,1 run,"
10.6,"Shakib,Manish Pandey,no run,"
10.5,"Shakib,Manish Pandey,no run,"
10.4,"Shakib,Manish Pandey,no run,"
10.3,"Shakib,Manish Pandey,no run,"
10.2,"Shakib,Rohit,1 run,"
10.1,"Shakib,Manish Pandey,1 run,"
9.6,"Rubel,Manish Pandey,1 run,"
9.5,"Rubel,Manish Pandey,no run,"
9.4,"Rubel,Manish Pandey,no run,"
9.3,"Rubel to Rahul, <b>out</b> "
9.2,"Rubel,Rohit,1 run,"
9.1,"Rubel,Rahul,1 run,"
8.6,"Nazmul Islam,Rahul,1 run,"
8.6,"Nazmul Islam,Rahul,<b>wide</b>,"
8.5,"Nazmul Islam,Rahul,<b>FOUR</b>,"
8.4,"Nazmul Islam,Rohit,1 run,"
8.3,"Nazmul Islam,Rahul,1 run,"
8.2,"Nazmul Islam,Rohit,1 run,"
8.1,"Nazmul Islam,Rohit,no run,"
7.6,"Rubel,Rohit,1 run,"
7.5,"Rubel,Rohit,no run,"
7.4,"Rubel,Rahul,1 run,"
7.3,"Rubel,Rahul,2 runs,"
7.2,"Rubel,Rohit,1 run,"
7.1,"Rubel,Rohit,no run,"
6.6,"Shakib,Rohit,1 run,"
6.5,"Shakib,Rohit,no run,"
6.4,"Shakib,Rohit,2 runs,"
6.3,"Shakib,Rahul,1 run,"
6.2,"Shakib,Rahul,<b>SIX</b>,"
6.1,"Shakib,Rohit,1 run,"
5.6,"Mustafizur,Rohit,1 run,"
5.5,"Mustafizur,Rohit,no run,"
5.4,"Mustafizur,Rohit,2 runs,"
5.3,"Mustafizur,Rohit,no run,"
5.2,"Mustafizur,Rohit,<b>FOUR</b>,"
5.1,"Mustafizur,Rahul,1 run,"
4.6,"Nazmul Islam,Rohit,no run,"
4.5,"Nazmul Islam,Rohit,no run,"
4.4,"Nazmul Islam,Rohit,<b>SIX</b>,"
4.3,"Nazmul Islam,Rohit,<b>FOUR</b>,"
4.2,"Nazmul Islam,Rohit,no run,"
4.1,"Nazmul Islam,Rahul,1 run,"
3.6,"Rubel,Rahul,1 run,"
3.5,"Rubel,Rahul,<b>FOUR</b>,"
3.4,"Rubel,Rahul,no run,"
3.3,"Rubel to Raina, <b>out</b> "
3.2,"Rubel,Raina,no run,"
3.1,"Rubel,Raina,no run,"
2.6,"Shakib,Rohit,no run,"
2.5,"Shakib,Rohit,no run,"
2.4,"Shakib to Dhawan, <b>out</b> "
2.3,"Shakib,Rohit,1 run,"
2.2,"Shakib,Dhawan,1 run,"
2.1,"Shakib,Dhawan,<b>SIX</b>,"
1.6,"Mehidy Hasan,Rohit,no run,"
1.5,"Mehidy Hasan,Rohit,<b>SIX</b>,"
1.4,"Mehidy Hasan,Rohit,<b>FOUR</b>,"
1.3,"Mehidy Hasan,Rohit,<b>SIX</b>,"
1.2,"Mehidy Hasan,Dhawan,1 run,"
1.1,"Mehidy Hasan,Dhawan,no run,"
0.6,"Shakib,Rohit,no run,"
0.5,"Shakib,Dhawan,1 run,"
